# visual 1f0eac35-e2f2-4bfd-a007-0bca19a26d71
7af83599-4f54-408d-aba3-fd6a89eb3e22
0.02864363942712721

# visual 6bd1c7df-55e2-494a-af80-b06362e1ea03
group_0,group_1,5f54acb7-c4ea-4bf3-88d8-a35beb209cc8,7af83599-4f54-408d-aba3-fd6a89eb3e22,d95a155c-cb5c-4d7a-bc4c-06d5b98fd2a1
2026-07-01 00:00:00.000,Delivery Station,362,0.052486187845303865,19
2026-07-01 00:00:00.000,Engagement & Motivation,100,0.01,1
2026-07-01 00:00:00.000,Hands-on Support,74,0.013513513513513514,1
2026-07-01 00:00:00.000,New Driver,82,0.012195121951219513,1
2026-07-01 00:00:00.000,Safety,569,0.0210896309314587,12
2026-06-01 00:00:00.000,Amazon Delivery App,143,0.09090909090909093,13
2026-06-01 00:00:00.000,Communication,69,0.014492753623188406,1
2026-06-01 00:00:00.000,Delivery Station,676,0.04881656804733728,33
2026-06-01 00:00:00.000,Effort & Efficiency,104,0.09615384615384616,10
2026-06-01 00:00:00.000,Engagement & Motivation,76,0.013157894736842105,1
2026-06-01 00:00:00.000,Fleet,139,0.04316546762589928,6
2026-06-01 00:00:00.000,Hands-on Support,79,0,0
2026-06-01 00:00:00.000,Navigation & Route Design,152,0.06578947368421052,10
2026-06-01 00:00:00.000,New Driver,23,0,0
2026-06-01 00:00:00.000,SDS,166,0.03614457831325301,6
2026-06-01 00:00:00.000,Safety,701,0.02282453637660485,16
2026-05-01 00:00:00.000,Amazon Delivery App,97,0.08247422680412371,8
2026-05-01 00:00:00.000,Communication,73,0.0136986301369863,1
2026-05-01 00:00:00.000,Delivery Station,354,0.03954802259887006,14
2026-05-01 00:00:00.000,Effort & Efficiency,102,0.08823529411764706,9
2026-05-01 00:00:00.000,Engagement & Motivation,79,0.06329113924050633,5
2026-05-01 00:00:00.000,Fleet,88,0.06818181818181818,6
2026-05-01 00:00:00.000,Hands-on Support,71,0.056338028169014086,4
2026-05-01 00:00:00.000,Navigation & Route Design,97,0.08247422680412371,8
2026-05-01 00:00:00.000,New Driver,25,0,0
2026-05-01 00:00:00.000,SDS,69,0.043478260869565216,3
2026-05-01 00:00:00.000,Safety,614,0.043973941368078175,27
2026-04-01 00:00:00.000,Amazon Delivery App,84,0.05952380952380952,5
2026-04-01 00:00:00.000,Communication,189,0.021164021164021163,4
2026-04-01 00:00:00.000,Delivery Station,535,0.04299065420560748,23
2026-04-01 00:00:00.000,Effort & Efficiency,89,0.06741573033707865,6
2026-04-01 00:00:00.000,Engagement & Motivation,212,0.08018867924528301,17
2026-04-01 00:00:00.000,Fleet,69,0.057971014492753624,4
2026-04-01 00:00:00.000,Hands-on Support,202,0.0396039603960396,8
2026-04-01 00:00:00.000,Navigation & Route Design,96,0.052083333333333336,5
2026-04-01 00:00:00.000,New Driver,36,0.05555555555555555,2
2026-04-01 00:00:00.000,SDS,132,0.022727272727272728,3
2026-04-01 00:00:00.000,Safety,602,0.04318936877076412,26
2026-03-01 00:00:00.000,Amazon Delivery App,75,0.08,6
2026-03-01 00:00:00.000,Communication,157,0.03821656050955414,6
2026-03-01 00:00:00.000,Delivery Station,613,0.03425774877650897,21
2026-03-01 00:00:00.000,Effort & Efficiency,75,0.06666666666666667,5
2026-03-01 00:00:00.000,Engagement & Motivation,159,0.050314465408805034,8
2026-03-01 00:00:00.000,Fleet,32,0,0
2026-03-01 00:00:00.000,Hands-on Support,172,0.040697674418604654,7
2026-03-01 00:00:00.000,Navigation & Route Design,67,0.1044776119402985,7
2026-03-01 00:00:00.000,New Driver,10,0,0
2026-03-01 00:00:00.000,SDS,141,0.06382978723404255,9
2026-03-01 00:00:00.000,Safety,739,0.06224627875507442,46
2026-02-01 00:00:00.000,Amazon Delivery App,44,0.045454545454545456,2
2026-02-01 00:00:00.000,Communication,158,0.0379746835443038,6
2026-02-01 00:00:00.000,Delivery Station,419,0.05011933174224344,21
2026-02-01 00:00:00.000,Effort & Efficiency,69,0.07246376811594203,5
2026-02-01 00:00:00.000,Engagement & Motivation,181,0.055248618784530384,10
2026-02-01 00:00:00.000,Fleet,2,0,0
2026-02-01 00:00:00.000,Hands-on Support,180,0.044444444444444446,8
2026-02-01 00:00:00.000,New Driver,4,0,0
2026-02-01 00:00:00.000,SDS,114,0.03508771929824561,4
2026-02-01 00:00:00.000,Safety,677,0.05317577548005909,36
2026-01-01 00:00:00.000,Amazon Delivery App,15,0.13333333333333333,2
2026-01-01 00:00:00.000,Communication,175,0.04,7
2026-01-01 00:00:00.000,Delivery Station,204,0.0392156862745098,8
2026-01-01 00:00:00.000,Effort & Efficiency,54,0.1111111111111111,6
2026-01-01 00:00:00.000,Engagement & Motivation,189,0.0582010582010582,11
2026-01-01 00:00:00.000,Fleet,52,0.07692307692307693,4
2026-01-01 00:00:00.000,Hands-on Support,183,0.01639344262295082,3
2026-01-01 00:00:00.000,New Driver,10,0,0
2026-01-01 00:00:00.000,Pick-ups,166,0.04216867469879518,7
2026-01-01 00:00:00.000,SDS,55,0.05454545454545454,3
2026-01-01 00:00:00.000,Safety,909,0.0594059405940594,54
2025-12-01 00:00:00.000,Amazon Communications,226,0.030973451327433628,7
2025-12-01 00:00:00.000,Amazon Delivery App,26,0.038461538461538464,1
2025-12-01 00:00:00.000,Communication,201,0.009950248756218904,2
2025-12-01 00:00:00.000,Delivery Execution,87,0.011494252873563218,1
2025-12-01 00:00:00.000,Delivery Station,241,0.04564315352697095,11
2025-12-01 00:00:00.000,Effort & Efficiency,230,0.08695652173913043,20
2025-12-01 00:00:00.000,Engagement & Motivation,435,0.05057471264367816,22
2025-12-01 00:00:00.000,Fleet,55,0.01818181818181818,1
2025-12-01 00:00:00.000,Hands-on Support,218,0.022935779816513763,5
2025-12-01 00:00:00.000,Navigation & Route Design,176,0.0625,11
2025-12-01 00:00:00.000,New Driver,39,0.1282051282051282,5
2025-12-01 00:00:00.000,SDS,211,0.05687203791469194,12
2025-12-01 00:00:00.000,Safety,310,0.04516129032258064,14
2025-11-01 00:00:00.000,Amazon Communications,267,0.0299625468164794,8
2025-11-01 00:00:00.000,Amazon Delivery App,8,0.125,1
2025-11-01 00:00:00.000,Communication,233,0.03862660944206009,9
2025-11-01 00:00:00.000,Delivery Execution,79,0.0759493670886076,6
2025-11-01 00:00:00.000,Delivery Station,151,0.052980132450331126,8
2025-11-01 00:00:00.000,Effort & Efficiency,157,0.08917197452229299,14
2025-11-01 00:00:00.000,Engagement & Motivation,392,0.058673469387755105,23
2025-11-01 00:00:00.000,Fleet,122,0.04918032786885246,6
2025-11-01 00:00:00.000,Hands-on Support,239,0.04184100418410042,10
2025-11-01 00:00:00.000,Navigation & Route Design,105,0.09523809523809525,10
2025-11-01 00:00:00.000,New Driver,76,0.013157894736842105,1
2025-11-01 00:00:00.000,SDS,236,0.0423728813559322,10
2025-11-01 00:00:00.000,Safety,232,0.05172413793103448,12
2025-10-01 00:00:00.000,Amazon Communications,150,0.04666666666666667,7
2025-10-01 00:00:00.000,Amazon Delivery App,10,0.1,1
2025-10-01 00:00:00.000,Communication,129,0.007751937984496124,1
2025-10-01 00:00:00.000,Delivery Execution,43,0.046511627906976744,2
2025-10-01 00:00:00.000,Delivery Station,220,0.045454545454545456,10
2025-10-01 00:00:00.000,Effort & Efficiency,160,0.09375,15
2025-10-01 00:00:00.000,Engagement & Motivation,249,0.04819277108433735,12
2025-10-01 00:00:00.000,Fleet,70,0.1,7
2025-10-01 00:00:00.000,Hands-on Support,160,0.0625,10
2025-10-01 00:00:00.000,Navigation & Route Design,148,0.0945945945945946,14
2025-10-01 00:00:00.000,New Driver,39,0.02564102564102564,1
2025-10-01 00:00:00.000,SDS,148,0.04054054054054054,6
2025-10-01 00:00:00.000,Safety,279,0.04659498207885305,13
2025-09-01 00:00:00.000,Amazon Communications,162,0.05555555555555555,9
2025-09-01 00:00:00.000,Amazon Delivery App,20,0.1,2
2025-09-01 00:00:00.000,Communication,102,0.029411764705882353,3
2025-09-01 00:00:00.000,Delivery Execution,62,0.06451612903225806,4
2025-09-01 00:00:00.000,Delivery Station,147,0.07482993197278912,11
2025-09-01 00:00:00.000,Effort & Efficiency,154,0.13636363636363635,21
2025-09-01 00:00:00.000,Engagement & Motivation,153,0.09803921568627452,15
2025-09-01 00:00:00.000,Fleet,82,0.08536585365853659,7
2025-09-01 00:00:00.000,Hands-on Support,162,0.012345679012345678,2
2025-09-01 00:00:00.000,Navigation & Route Design,122,0.12295081967213116,15
2025-09-01 00:00:00.000,New Driver,14,0,0
2025-09-01 00:00:00.000,SDS,141,0.07801418439716312,11
2025-09-01 00:00:00.000,Safety,219,0.0365296803652968,8
2025-08-01 00:00:00.000,Amazon Communications,180,0.016666666666666666,3
2025-08-01 00:00:00.000,Amazon Delivery App,16,0.125,2
2025-08-01 00:00:00.000,Communication,141,0.03546099290780142,5
2025-08-01 00:00:00.000,Delivery Execution,53,0.01886792452830189,1
2025-08-01 00:00:00.000,Delivery Station,159,0.06289308176100629,10
