# visual 23d7d487-d7fd-4c5a-a7fb-d1a207d9fa06
group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_21,group_22,group_23,group_24,group_25,group_26,group_27,group_28,bcbd3796-ead0-45dd-a309-35eb7be44bee
HYZ1,FLIT,2026-07-11 00:00:00.000,701-4104975-2256227,701-2044538-1357828,461441955124201,TBC004946989100,B0CJH2NNDT,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Service was good and on time,,,A2X8PBWHSLQ6ZB,19,17219311-9,2P,17219311-9,AMXL Box Truck (Medium) w/ Helper,2026-07-11 00:00:00.000,,,2026-07-11 11:00:00.000,2026-07-11 14:00:00.000,11,14,3
HYZ1,FLIT,2026-07-18 00:00:00.000,702-2048161-6217817,702-8651443-0089012,462855368251201,TBC004976052100,B0864N7DV7,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Excellent,,,A388Y0XRV98KQZ,40,17263323-14,2P,17263323-14,AMXL Box Truck (Medium) w/ Helper,2026-07-18 00:00:00.000,,,2026-07-18 08:00:00.000,2026-07-18 20:00:00.000,8,20,12
HYZ1,FLIT,2026-07-18 00:00:00.000,702-2048161-6217817,702-9022669-5806631,462862639162201,TBC004979231100,B07Y8Z6VN5,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Excellent,,,A388Y0XRV98KQZ,40,17263323-14,2P,17263323-14,AMXL Box Truck (Medium) w/ Helper,2026-07-18 00:00:00.000,,,2026-07-18 14:00:00.000,2026-07-18 17:00:00.000,14,17,3
HYZ1,MYCU,2026-04-04 00:00:00.000,701-5819045-7304249,701-1566246-8735459,446752328364201,TBC004643453100,B0DWH4NLS3,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,I would have paid extra for them to bring out the tv. This service should be available.,,,A2V3H4IETS2C6T,185,16617508-2,2P,16617508-2,AMXL Box Truck (Medium) w/ Helper,2026-04-04 00:00:00.000,,,2026-04-04 08:00:00.000,2026-04-04 20:00:00.000,8,20,12
HYZ1,MYCU,2026-04-08 00:00:00.000,702-1520832-6517021,702-4834959-9545013,447140804700201,TBC004652324100,B0CKZ15174,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,1,I feel like I wasted money using this feature. They didn’t remove the plastic part of the packaging. How could it be truly tested? Vast difference.,,,A2Q93UJV6X9Z5H,130,16634138-22,2P,16634138-22,AMXL Box Truck (Medium) w/ Helper,2026-04-07 00:00:00.000,,,2026-04-07 08:00:00.000,2026-04-07 20:00:00.000,8,20,12
HYZ1,MYCU,2026-04-15 00:00:00.000,701-1610206-9356240,701-0512665-8626658,447790972643201,TBC004668109100,B0CKYZ4DJB,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Excellent service!,,,A2Q93UJV6X9Z5H,135,16681889-20,2P,16681889-20,AMXL Box Truck (Medium) w/ Helper,2026-04-15 00:00:00.000,,,2026-04-15 11:00:00.000,2026-04-15 14:00:00.000,11,14,3
HYZ1,MYCU,2026-04-27 00:00:00.000,702-8557240-7990611,702-1687688-5804262,449665115685201,TBC004702801100,B0193V3DJ6,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,right on time and delevered as expected,,,A3Q4G21CIYIBMR,286,16753648-5,2P,16753648-5,AMXL Box Truck (Medium) w/ Helper,2026-04-27 00:00:00.000,,,2026-04-27 08:00:00.000,2026-04-27 20:00:00.000,8,20,12
HYZ1,MYCU,2026-05-07 00:00:00.000,702-0167869-5939428,702-2148927-8721044,450718931480201,TBC004737273100,B0F5QTYGVF,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,3,Purchased the deluxe service which was to include  and place it in your desired location if no defects or damage are found . It's currently sitting on the floor as the techs wouldn't put it in place for me and I now need to go beg a neighbour to help me put it in place.,,,A30ZV2KFOXR02S,212,16814691-4,2P,16814691-4,AMXL Box Truck (Medium) w/ Helper,2026-05-07 00:00:00.000,,,2026-05-07 11:00:00.000,2026-05-07 14:00:00.000,11,14,3
HYZ1,MYCU,2026-05-14 00:00:00.000,702-2246405-2080239,702-6473262-3272258,451581665693201,TBC004757139100,B0DWH4NLS3,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,1,"This was supposed to be delivered yesterday, I was waiting in the first floor of the building to help if needed but nobody from Amazon delivery team arrived. Our time was wasted waiting for this delivery to happen.",1,,A3Q4G21CIYIBMR,297,16857920-14,2P,16857920-14,AMXL Box Truck (Medium) w/ Helper,2026-05-14 00:00:00.000,,,2026-05-13 11:00:00.000,2026-05-13 14:00:00.000,11,14,3
HYZ1,MYCU,2026-06-07 00:00:00.000,701-0643640-9486642,701-9870622-9209068,454605029015201,TBC004818708100,B0GS6TRLGY,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Delivery time 1 to 3 arrived at 2 Good service,,,A1677GEVFQNLEX,35,17002040-6,2P,17002040-6,AMXL Box Truck (Medium) w/ Helper,2026-06-06 00:00:00.000,,,2026-06-06 08:00:00.000,2026-06-06 20:00:00.000,8,20,12
HYZ1,MYCU,2026-06-13 00:00:00.000,701-5770797-7437806,701-6166527-2451445,456991831509201,TBC004850498100,B09V394HQP,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Professional and courteous associates. They delivered my item to my specified location.,,,A11D6TLSTLS48D,173,17045955-6,2P,17045955-6,AMXL Box Truck (Medium) w/ Helper,2026-06-13 00:00:00.000,,,2026-06-13 08:00:00.000,2026-06-13 20:00:00.000,8,20,12
HYZ1,MYCU,2026-06-16 00:00:00.000,701-8514409-1397023,701-9947516-2567428,456965443489201,TBC004850269100,B0D7D62YBT,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Solid work. The two mrn who came were very efficient and polite. No issues..,,,A3Q4G21CIYIBMR,313,17064235-2,2P,17064235-2,AMXL Box Truck (Medium) w/ Helper,2026-06-16 00:00:00.000,,,2026-06-16 11:00:00.000,2026-06-16 14:00:00.000,11,14,3
HYZ1,MYCU,2026-06-20 00:00:00.000,701-7656033-0101840,701-5608015-7934624,457770933855201,TBC004874366100,B0193V3DJ6,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,"Excellent delivery, very difficult and they still accommodated.",,,A3AZYM3Y8MTCGZ,4,17090239-7,2P,17090239-7,AMXL Box Truck (Medium) w/ Helper,2026-06-20 00:00:00.000,,,2026-06-20 11:00:00.000,2026-06-20 14:00:00.000,11,14,3
HYZ1,MYCU,2026-06-30 00:00:00.000,702-6893522-6885846,702-0473642-9645830,459816756488201,TBC004916438100,B0FLQNKJMN,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,The two delivery men were professional and quick. They called and texted me prior to arrival and there were no issues with the delivery of a very heavy box to my basement.,,,A1SKPXLEM8N2Q1,47,17152879-33,2P,17152879-33,AMXL Box Truck (Medium) w/ Helper,2026-06-30 00:00:00.000,,,2026-06-30 11:00:00.000,2026-06-30 14:00:00.000,11,14,3
HYZ1,MYCU,2026-07-02 00:00:00.000,702-8285599-0639410,702-0942278-7407463,460672056512201,TBC004930215100,B07F3DNNDC,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,all good,,,A1677GEVFQNLEX,55,17165518-6,2P,17165518-6,AMXL Box Truck (Medium) w/ Helper,2026-07-02 00:00:00.000,,,2026-07-02 08:00:00.000,2026-07-02 20:00:00.000,8,20,12
HYZ2,112C,2026-04-02 00:00:00.000,702-4327196-3243409,702-6581082-8292225,446016286054201,TBC004628248100,B09XM7W9R7,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,1,"The box spring wasn't delivered until 5pm and is still sitting in my porch. It was supposed to be here between 11am and 2pm. I received an email telling me that my order was complete and who did I like the deluxe delivery and unpack service? How would I know, I never got it!!!",1,,A109UPSB6UGP5K,97,16605738-11,2P,16605738-11,AMXL Box Truck (Medium) w/ Helper,2026-04-02 00:00:00.000,,,2026-04-02 11:00:00.000,2026-04-02 14:00:00.000,11,14,3
HYZ2,112C,2026-04-06 00:00:00.000,701-4833758-8926659,701-5680010-6928205,446630457761201,TBC004640935100,B08XKJJCJR,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,"Thanks for a job well done, the guys were polite",,,A187YVSUXR7HMN,194,16628194-12,2P,16628194-12,AMXL Box Truck (Medium) w/ Helper,2026-04-06 00:00:00.000,,,2026-04-06 14:00:00.000,2026-04-06 17:00:00.000,14,17,3
HYZ2,112C,2026-05-07 00:00:00.000,701-4511669-0799419,701-8342594-9045839,451108933661201,TBC004738860100,B0DWHYR9TH,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Everything was perfect 2 delivery guys was very professional and kind,,,A19D7RB37RPDXM,319,16814528-3,2P,16814528-3,AMXL Box Truck (Medium) w/ Helper,2026-05-07 00:00:00.000,,,2026-05-07 08:00:00.000,2026-05-07 20:00:00.000,8,20,12
HYZ2,112C,2026-05-12 00:00:00.000,701-6832566-0909038,701-6365678-0497030,451778814104201,TBC004754072100,B0CLBSWL5Q,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,He did a fantastic job!,,,A2IVBH0ZBA752X,406,16845118-6,2P,16845118-6,AMXL Box Truck (Medium) w/ Helper,2026-05-12 00:00:00.000,,,2026-05-12 08:00:00.000,2026-05-12 20:00:00.000,8,20,12
HYZ2,112C,2026-05-19 00:00:00.000,701-0771182-2437044,701-5497693-7434620,452512783612201,TBC004774555100,B00GJEPTJS,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Good delivery. Right on time,,,A2IVBH0ZBA752X,409,16888242-13,2P,16888242-13,AMXL Box Truck (Medium) w/ Helper,2026-05-19 00:00:00.000,,,2026-05-19 08:00:00.000,2026-05-19 20:00:00.000,8,20,12
HYZ2,112C,2026-05-19 00:00:00.000,702-0232770-2578675,702-1270238-8104247,452649357415201,TBC004773187100,B0CLBSWL5Q,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,"Huge thanks to the delivery team who delivered my TV today! They were extremely polite, professional, and careful. They placed the TV exactly where I wanted it without any issues. Really appreciated their kindness and great customer service. Excellent experience!",1,,A2IVBH0ZBA752X,409,16888242-13,2P,16888242-13,AMXL Box Truck (Medium) w/ Helper,2026-05-19 00:00:00.000,,,2026-05-19 08:00:00.000,2026-05-19 20:00:00.000,8,20,12
HYZ2,112C,2026-05-20 00:00:00.000,701-8117318-3438633,701-0383230-6077028,452527051529201,TBC004776133100,B0DYK8BKST,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,professional delivery service,,,A2IVBH0ZBA752X,409,16888242-13,2P,16888242-13,AMXL Box Truck (Medium) w/ Helper,2026-05-19 00:00:00.000,,,2026-05-19 08:00:00.000,2026-05-19 20:00:00.000,8,20,12
HYZ2,112C,2026-06-22 00:00:00.000,701-9650107-0461830,701-1255596-7851410,458450980141201,TBC004879197100,B0193V3DJ6,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Two guys carried the NordicTrack box (very heavy) down one flight of stair to the basement. Excellent handling of the large box and knowledge and means to make it down the stairs. Extremely happy with the Room of Choice service.,1,,ACUX0KRNK5KNN,390,17102058-9,2P,17102058-9,AMXL Box Truck (Medium) w/ Helper,2026-06-22 00:00:00.000,,,2026-06-22 08:00:00.000,2026-06-22 20:00:00.000,8,20,12
HYZ2,112C,2026-06-29 00:00:00.000,702-3848605-5413858,702-5164816-6677835,460054027986201,TBC004915422100,B0DXQQWN4N,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,1,"It a frame tv, I was only installed on the ground,I would have preferred my tv installed on the wall",,,ACUX0KRNK5KNN,395,17146226-2,2P,17146226-2,AMXL Box Truck (Medium) w/ Helper,2026-06-29 00:00:00.000,,,2026-06-29 08:00:00.000,2026-06-29 20:00:00.000,8,20,12
HYZ2,112C,2026-07-07 00:00:00.000,701-2943387-4365838,701-8172778-8889004,460915153280201,TBC004938596100,B0GXC9G8GT,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Nice gentlemen.,,,A1DUXIMKU5WU3J,338,17186474-5,2P,17186474-5,AMXL Box Truck (Medium) w/ Helper,2026-07-06 00:00:00.000,,,2026-07-06 08:00:00.000,2026-07-06 20:00:00.000,8,20,12
HYZ2,112C,2026-07-13 00:00:00.000,702-1710290-2166625,702-8605545-8508246,462138916627201,TBC004960447100,B0CKYZ4DJB,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Very helpful,,,A1HEW33DLTLNVD,209,17231209-2,2P,17231209-2,AMXL Box Truck (Medium) w/ Helper,2026-07-13 00:00:00.000,,,2026-07-13 08:00:00.000,2026-07-13 20:00:00.000,8,20,12
HYZ2,112C,2026-07-15 00:00:00.000,701-3623359-2335430,701-9934914-9928217,462247204022201,TBC004965096100,B0GJ1DBYHB,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Delivery was as expected.,,,A1HEW33DLTLNVD,210,17237651-30,2P,17237651-30,AMXL Box Truck (Medium) w/ Helper,2026-07-14 00:00:00.000,,,2026-07-14 08:00:00.000,2026-07-14 20:00:00.000,8,20,12
HYZ2,MRLS,2026-04-25 00:00:00.000,702-9463500-3632218,702-9575856-3593850,449425161889201,TBC004700625100,B0D7D8RW36,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Tool kit was left behind. Please let serviceman know he can pick it up. I can leave it with concierge,,,A2FIMFHL0UNU06,438,16742072-30,2P,16742072-30,AMXL Box Truck (Medium) w/ Helper,2026-04-25 00:00:00.000,,,2026-04-25 08:00:00.000,2026-04-25 20:00:00.000,8,20,12
HYZ2,MRLS,2026-05-07 00:00:00.000,701-7546073-1745014,701-4048750-4243417,451110202785201,TBC004738344100,B0F5QTHJ78,B0CCV1J4KL,Deluxe Delivery and Unpack,U,Unpack,5,Not bad,,,AM3H1S72NVWRI,223,16814528-11,2P,16814528-11,AMXL Box Truck (Medium) w/ Helper,2026-05-07 00:00:00.000,,,2026-05-07 08:00:00.000,2026-05-07 20:00:00.000,8,20,12
HYZ2,MRLS,2026-05-14 00:00:00.000,701-9792916-9645865,701-9401663-5673808,452021730968201,TBC004747010100,B002HWNVZK,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Very good!,,,A1HD7E6MGFYC9U,342,16857753-26,2P,16857753-26,AMXL Box Truck (Medium) w/ Helper,2026-05-14 00:00:00.000,,,2026-05-14 08:00:00.000,2026-05-14 11:00:00.000,8,11,3
HYZ2,MRLS,2026-06-01 00:00:00.000,702-9337194-2250661,702-2151182-4943444,453764149078201,TBC004802314100,B09V3BDT7J,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,"The two young men who delivered my BBQ were amazing. Polite, professional and very kind. Thank you!",,,A2MLO558LWTOHN,217,16969812-11,2P,16969812-11,AMXL Box Truck (Medium) w/ Helper,2026-06-01 00:00:00.000,,,2026-06-01 14:00:00.000,2026-06-01 17:00:00.000,14,17,3
HYZ2,MRLS,2026-06-16 00:00:00.000,701-7781499-6462608,701-4931995-9753000,457342691328201,TBC004857489100,B0F2JLYVDD,B0CCSNL6VC,Room of Choice Delivery,D:R,ROC,5,Delivered as promised right where i wanted it. On time and fast. Perfect,,,A2MLO558LWTOHN,226,17064080-13,2P,17064080-13,AMXL Box Truck (Medium) w/ Helper,2026-06-16 00:00:00.000,,,2026-06-16 14:00:00.000,2026-06-16 17:00:00.000,14,17,3
