# visual 6e22d4a4-1796-4c33-8bbc-432ff6389d17
run_datetime


# visual 9dfe57ee-5b38-403c-ba3e-abcf9254a0ee
group_0,group_1,group_2,group_3,actual_service_time_min,tracking_id
HYC2 - DFST,D:R,7,2026-28,2.15,1
HYC2 - DFST,D:R,7,2026-29,4.8,1
HYE1 - ANDR,D:R,7,2026-28,2.83333,1
HYE1 - ANDR,D:R,7,2026-29,14.48333,2
HYE1 - ANDR,U,10,2026-29,23.3,1
HYO1 - RURN,U,10,2026-28,9.31666,1
HYV1 - VAVA,D:R,7,2026-29,11.7624975,4
HYV1 - VAVA,U,10,2026-28,21.73333,1
HYZ1 - FLIT,D:R,7,2026-28,5.216666666666667,3
HYZ1 - FLIT,U,10,2026-29,15.73333,1
HYZ1 - MYCU,D:R,7,2026-28,4,1
HYZ1 - MYCU,D:R,7,2026-29,5.5111099999999995,3
HYZ2 - 112C,D:R,7,2026-28,20.66666,1
HYZ2 - 112C,D:R,7,2026-29,6.420827500000001,4
HYZ2 - 112C,U,10,2026-28,14.66666,1
HYZ2 - 112C,U,10,2026-29,13.06666,1
HYZ2 - MRLS,D:R,7,2026-28,6.566665,2
HYZ2 - MRLS,D:R,7,2026-29,3.924995,2

# visual b19f608e-1f5d-458f-a034-d43e179a98b7
group_0,group_1,group_2,group_3,actual_service_time_min,tracking_id
D:R,Room of Choice Delivery,7,2026-07-01 00:00:00.000,7.572664,25
U,Deluxe Delivery and Unpack,10,2026-07-01 00:00:00.000,16.30277333333333,6

# visual 96b6453b-9c69-4ca9-8046-92975ee8fe31
group_0,group_1,group_2,group_3,group_4,group_5,group_6,delivery_station_code,tracking_id
HYC2,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,1
HYE1,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,1
HYO1,2P,Unpack,U,All,2026-28,2026-07-11 00:00:00.000,20,1
HYV1,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,2
HYV1,2P,Unpack,U,All,2026-28,2026-07-11 00:00:00.000,20,1
HYZ1,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,6
HYZ2,2P,ROC,D:R,All,2026-28,2026-07-11 00:00:00.000,20,3
HYZ2,2P,Unpack,U,All,2026-28,2026-07-11 00:00:00.000,20,1
HYC2,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,1
HYE1,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,1
HYV1,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,2
HYZ1,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,1
HYZ1,2P,Unpack,U,All,2026-29,2026-07-13 00:00:00.000,20,1
HYZ2,2P,ROC,D:R,All,2026-29,2026-07-13 00:00:00.000,20,2
HYZ2,2P,Unpack,U,All,2026-29,2026-07-13 00:00:00.000,20,1
HYE1,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,1
HYE1,2P,Unpack,U,All,2026-29,2026-07-14 00:00:00.000,20,1
HYV1,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,2
HYZ1,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,2
HYZ2,2P,ROC,D:R,All,2026-29,2026-07-14 00:00:00.000,20,4

# visual b4162a7c-e417-4ae1-8a3d-ceeb023c372d
group_0,group_1,group_2,group_3,group_4,group_5,actual_service_time_min,tracking_id
ROC,D:R,Room of Choice Delivery,2P,7,2026-07-01 00:00:00.000,7.572664,25
Unpack,U,Deluxe Delivery and Unpack,2P,10,2026-07-01 00:00:00.000,16.30277333333333,6

# visual 1860be27-4ea9-4210-9bbe-1096fd258e20
group_0,group_1,group_2,group_3,group_4,group_5,group_6,group_7,group_8,group_9,group_10,group_11,group_12,group_13,group_14,group_15,group_16,group_17,group_18,group_19,group_20,group_21,group_22,country
CA,HYV1,VAVA,2026-07-01 00:00:00.000,2026-07-14 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,,7,13.56666,TBC004958734100,2026-07-14 17:39:49.000,10,2026-07-14 17:53:23.000,17238895-2,17238895-2,AMXL Box Truck (Medium) w/ Helper,A27BWI1TWN9PSJ,A27BWI1TWN9PSJ,1,1,31
CA,HYV1,VAVA,2026-07-01 00:00:00.000,2026-07-14 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,44000 Grilling,7,5.8,TBC004963907100,2026-07-14 19:39:07.000,26,2026-07-14 19:44:55.000,17238895-4,17238895-4,AMXL Box Truck (Medium) w/ Helper,A1TVFD49PI0ADM,A1TVFD49PI0ADM,1,1,31
CA,HYZ1,FLIT,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,0100 Televisions,7,4.8,TBC004946989100,2026-07-11 16:26:01.000,11,2026-07-11 16:30:49.000,17219311-9,17219311-9,AMXL Box Truck (Medium) w/ Helper,A2X8PBWHSLQ6ZB,A2X8PBWHSLQ6ZB,1,1,31
CA,HYZ1,FLIT,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,0100 Televisions,7,7.25,TBC004957152100,2026-07-11 19:04:25.000,40,2026-07-11 19:11:40.000,17219311-10,17219311-10,AMXL Box Truck (Medium) w/ Helper,A2Q4UDHI4K78XM,A2Q4UDHI4K78XM,1,1,31
CA,HYZ1,FLIT,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,1000 Mattresses & Mattress Frames,7,3.6,TBC004959164100,2026-07-11 15:51:27.000,8,2026-07-11 15:55:03.000,17219311-13,17219311-13,AMXL Box Truck (Medium) w/ Helper,A3OTCEDMU2UWP0,A3OTCEDMU2UWP0,1,1,31
CA,HYZ1,FLIT,2026-07-01 00:00:00.000,2026-07-13 00:00:00.000,2P,Unpack,U,Deluxe Delivery and Unpack,0100 Televisions,10,15.73333,TBC004960897100,2026-07-13 18:25:07.000,33,2026-07-13 18:40:51.000,17231345-16,17231345-16,AMXL Box Truck (Medium) w/ Helper,A36D06M6EOGJMY,A36D06M6EOGJMY,1,1,31
CA,HYZ1,MYCU,2026-07-01 00:00:00.000,2026-07-11 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,5000 Living Room Furniture,7,4,TBC004958929100,2026-07-11 21:08:47.000,41,2026-07-11 21:12:47.000,17219311-7,17219311-7,AMXL Box Truck (Medium) w/ Helper,AWUBICGLGMYFH,AWUBICGLGMYFH,1,1,31
CA,HYZ1,MYCU,2026-07-01 00:00:00.000,2026-07-13 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,8000 Game Room and Leisure,7,6.7,TBC004958509100,2026-07-13 18:08:09.000,15,2026-07-13 18:14:51.000,17231345-32,17231345-32,AMXL Box Truck (Medium) w/ Helper,A39219YDZIAMIU,A39219YDZIAMIU,1,1,31
CA,HYZ1,MYCU,2026-07-01 00:00:00.000,2026-07-14 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,0100 Televisions,7,7.5,TBC004966110100,2026-07-14 22:40:45.000,62,2026-07-14 22:48:15.000,17237832-2,17237832-2,AMXL Box Truck (Medium) w/ Helper,AWUBICGLGMYFH,AWUBICGLGMYFH,1,1,31
CA,HYZ1,MYCU,2026-07-01 00:00:00.000,2026-07-14 00:00:00.000,2P,ROC,D:R,Room of Choice Delivery,3000 Bedroom Furniture,7,2.33333,TBC004965996100,2026-07-14 16:49:06.000,25,2026-07-14 16:51:26.000,17237832-4,17237832-4,AMXL Box Truck (Medium) w/ Helper,A1A8RKONHIEL7T,A1A8RKONHIEL7T,1,1,31
